nom;amendements_adoptes;amendements_proposes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;mois;annee;DEPSIR
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2021;6206
Christophe Leclercq;8;0;9;0;2;0;0;0;0;0;0;0;2;9;2021;6206
Christophe Leclercq;44;0;68;0;2;0;0;0;0;0;0;0;2;10;2021;6206
Christophe Leclercq;39;0;54;0;2;0;0;0;0;1;0;0;2;11;2021;6206
Christophe Leclercq;22;0;36;0;1;0;0;0;0;0;0;0;1;12;2021;6206
Adrien Morenas;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2017;8403
Adrien Morenas;0;0;0;0;2;0;0;0;0;0;0;0;1;7;2017;8403
Adrien Morenas;0;0;0;0;1;0;0;0;0;0;0;0;1;8;2017;8403
Adrien Morenas;7;0;17;0;4;0;0;0;0;2;0;0;2;9;2017;8403
Adrien Morenas;9;0;27;2;8;0;0;0;3;6;0;0;5;10;2017;8403
Adrien Morenas;16;0;28;0;7;5;0;0;1;1;1;0;5;11;2017;8403
Adrien Morenas;1;0;2;1;5;0;0;0;1;0;0;0;3;12;2017;8403
Adrien Morenas;0;0;6;1;2;0;1;0;1;0;0;0;2;1;2018;8403
Adrien Morenas;0;0;3;2;11;3;0;0;2;1;0;0;4;2;2018;8403
Adrien Morenas;26;2;37;1;8;2;0;0;3;2;1;0;3;3;2018;8403
Adrien Morenas;22;3;69;3;13;0;0;0;0;2;0;0;3;4;2018;8403
Adrien Morenas;40;3;195;0;3;0;0;0;2;1;0;0;2;5;2018;8403
Adrien Morenas;15;0;124;7;6;5;1;0;2;1;1;1;4;6;2018;8403
Adrien Morenas;17;0;70;3;5;0;0;0;0;5;0;0;3;7;2018;8403
Adrien Morenas;0;0;0;0;0;0;0;0;0;2;0;0;0;8;2018;8403
Adrien Morenas;44;1;181;2;6;0;0;0;0;0;0;0;3;9;2018;8403
Adrien Morenas;54;5;169;5;10;0;0;0;0;0;0;0;5;10;2018;8403
Adrien Morenas;78;2;176;4;5;0;0;0;0;0;0;0;2;11;2018;8403
Adrien Morenas;28;0;48;2;5;0;0;0;2;0;0;0;3;12;2018;8403
Adrien Morenas;13;1;31;18;10;0;1;0;3;1;0;0;3;1;2019;8403
Adrien Morenas;21;0;93;7;12;0;0;0;2;2;0;0;3;2;2019;8403
Adrien Morenas;40;8;183;10;12;1;1;0;3;4;0;0;4;3;2019;8403
Adrien Morenas;1;0;1;6;9;0;0;0;1;1;0;0;2;4;2019;8403
Adrien Morenas;57;0;154;0;11;0;0;0;3;2;0;0;5;5;2019;8403
Adrien Morenas;47;0;103;0;5;0;0;0;1;0;0;1;4;6;2019;8403
Adrien Morenas;15;0;24;1;3;2;1;0;2;1;1;0;2;7;2019;8403
Adrien Morenas;1;0;1;0;0;0;0;0;0;0;0;0;0;8;2019;8403
Adrien Morenas;6;0;12;4;5;0;0;0;1;2;0;0;4;9;2019;8403
Adrien Morenas;29;7;115;15;13;0;0;0;1;0;0;1;5;10;2019;8403
Adrien Morenas;62;0;166;2;7;7;6;0;2;2;0;0;4;11;2019;8403
Adrien Morenas;14;0;24;1;3;2;2;0;3;1;0;0;3;12;2019;8403
Adrien Morenas;9;0;15;0;3;0;0;0;2;2;0;0;3;1;2020;8403
